,freq,word,freq Mu
848,7.0,pues,1.0
849,1.0,conflictos,1.0
850,2.0,flotan,2.0
851,1.0,superficie,1.0
852,3.0,hacen,2.0
853,1.0,recordar,1.0
854,1.0,condición,1.0
855,1.0,especie,1.0
856,2.0,peso,2.0
857,1.0,cadenas,1.0
858,5.0,vivir,5.0
859,1.0,ocasiones,1.0
860,5.0,paso,4.0
861,7.0,caminando,7.0
862,1.0,laberintos,1.0
863,1.0,contradicciones,1.0
864,1.0,mantuvo,1.0
865,1.0,tirado,1.0
866,5.0,ahi,2.0
867,3.0,vuelta,3.0
868,1.0,nudo,1.0
869,2.0,delante,2.0
870,1.0,decirte,1.0
871,1.0,cegado,1.0
872,1.0,brillo,1.0
873,1.0,miran,1.0
874,1.0,directamente,1.0
875,1.0,tranquilizan,1.0
876,1.0,apagan,1.0
877,1.0,alarmas,1.0
878,3.0,debo,3.0
879,2.0,cerca,2.0
880,1.0,veré,1.0
881,2.0,forma,2.0
882,1.0,nalgas,1.0
883,1.0,hijo,
884,1.0,re,
885,2.0,puta,
886,5.0,harta,
887,3.0,todas,1.0
888,1.0,mentiras,
889,1.0,vengas,
890,1.0,quiera,
891,1.0,pases,
892,1.0,existo,
893,5.0,done,
894,1.0,this,
895,3.0,fucking,
896,3.0,get,
897,4.0,out,
898,4.0,you,1.0
899,1.0,mothafucking,
900,1.0,stupid,
901,2.0,odio,1.0
902,1.0,volver,
903,2.0,playing,
904,2.0,around,
905,1.0,stop,
906,1.0,acuerdo,1.0
907,2.0,vienen,2.0
908,1.0,volando,1.0
909,1.0,verbos,1.0
910,5.0,recuerdos,5.0
911,1.0,cuervos,1.0
912,1.0,resuelvo,1.0
913,1.0,vuelvo,1.0
914,1.0,escalón,1.0
915,2.0,arriba,1.0
916,1.0,justo,1.0
917,2.0,sueldo,2.0
918,1.0,infalible,1.0
919,1.0,cometido,1.0
920,3.0,errores,3.0
921,1.0,posibles,1.0
922,1.0,carrera,1.0
923,3.0,puedes,2.0
924,1.0,pedir,1.0
925,1.0,relevos,1.0
926,2.0,poner,2.0
927,1.0,excusas,1.0
928,1.0,ponerle,1.0
929,1.0,observo,1.0
930,1.0,lejos,1.0
931,1.0,nave,1.0
932,1.0,nodriza,1.0
933,1.0,pendejos,1.0
934,2.0,doy,2.0
935,1.0,madriza,1.0
936,1.0,freestyle,1.0
937,1.0,sienten,1.0
938,1.0,artistas,1.0
939,1.0,cobran,1.0
940,1.0,mil,1.0
941,1.0,bolas,1.0
942,1.0,cacho,1.0
943,1.0,pizza,1.0
944,1.0,hablan,1.0
945,1.0,movie,1.0
946,1.0,cachorros,1.0
947,1.0,sobrino,1.0
948,1.0,scooby,1.0
949,1.0,fans,1.0
950,1.0,groupies,1.0
951,1.0,munki,1.0
952,1.0,win,1.0
953,1.0,muthafuckas,1.0
954,1.0,ajá,1.0
955,1.0,solo…,1.0
956,1.0,regla,1.0
957,1.0,romper…,1.0
958,1.0,caben,1.0
959,1.0,quemados,1.0
960,1.0,pone,1.0
961,1.0,ratones,1.0
962,1.0,leones,1.0
963,1.0,muerden,1.0
964,1.0,morros,1.0
965,1.0,tronando,1.0
966,2.0,cohetes,2.0
967,2.0,entienden,1.0
968,1.0,pelotas,1.0
969,2.0,perico,1.0
970,1.0,rodando,1.0
971,4.0,barrio,4.0
972,1.0,bateadores,1.0
973,1.0,listos,1.0
974,1.0,sacarla,1.0
975,1.0,estadio,1.0
976,1.0,home,1.0
977,1.0,run,1.0
978,1.0,la-,1.0
979,1.0,simon,1.0
980,1.0,holmes,1.0
981,1.0,mesa,1.0
982,2.0,comer,2.0
983,1.0,vomitar,1.0
984,2.0,costumbre,1.0
985,1.0,quitar,1.0
986,2.0,ando,2.0
987,1.0,pandilla,1.0
988,1.0,pegan,1.0
989,1.0,rocky,1.0
990,1.0,apollo,1.0
991,1.0,creed,1.0
992,22.0,m,
993,2.0,predicting,
994,9.0,my,
995,2.0,future,
996,5.0,like,
997,2.0,mayan,
998,2.0,heart,
999,3.0,of,
1000,2.0,lion,
1001,3.0,here,
1002,2.0,dyin,
1003,3.0,going,
1004,2.0,diamond,
1005,2.0,off,
1006,2.0,slangin,
1007,2.0,that,
1008,2.0,white,
1009,3.0,man,
1010,2.0,mü,
1011,2.0,right,
1012,2.0,beside,
1013,2.0,so,
1014,3.0,just,
1015,2.0,gon,
1016,2.0,keep,
1017,2.0,on,
1018,2.0,stylin,
1019,2.0,made,
1020,2.0,from,
1021,6.0,tierra,3.0
1022,2.0,had,
1023,2.0,perfect,
1024,2.0,timin,
1025,1.0,not,
1026,2.0,‘,
1027,1.0,cha,
1028,1.0,life,
1029,1.0,chismoso,
1030,1.0,been,
1031,1.0,grinding,
1032,1.0,since,
1033,1.0,was,
1034,1.0,ocho,
1035,1.0,people,
1036,4.0,they,
1037,2.0,money,
1038,1.0,getting,
1039,1.0,club,
1040,1.0,jumpin,
1041,1.0,po-go,
1042,1.0,back,
1043,1.0,being,
1044,1.0,poor,
1045,1.0,though,
1046,1.0,go,
1047,2.0,mexico,
1048,3.0,real,2.0
1049,1.0,outchea,
1050,2.0,talking,
1051,1.0,frodo,
1052,1.0,ride,
1053,2.0,with,
1054,1.0,migos,
1055,1.0,most,
1056,1.0,em,
1057,1.0,illegal,
1058,1.0,play,
1059,1.0,them,
1060,1.0,birds,
1061,1.0,eagles,
1062,1.0,carro,
1063,1.0,rojo,
1064,1.0,hot,
1065,1.0,cheetos,
1066,1.0,eating,
1067,1.0,jalapeño,
1068,1.0,flavored,
1069,1.0,doritos,
1070,1.0,she,
1071,1.0,chido,
1072,2.0,don,1.0
1073,1.0,feed,
1074,5.0,ego,4.0
1075,1.0,rollin,
1076,2.0,up,
1077,1.0,blunts,
