Text;Size;Color;Angle;Font;Repeat;URL
BODY;4;Random;Random;Random;Yes;http://wordart.com/go?word=body
FAITH;4;Random;Random;Random;Yes;http://wordart.com/go?word=faith
ALWAYS;4;Random;Random;Random;Yes;http://wordart.com/go?word=always
REMEMBER;4;Random;Random;Random;Yes;http://wordart.com/go?word=remember
HAPPENS;4;Random;Random;Random;Yes;http://wordart.com/go?word=happens
STAYS;4;Random;Random;Random;Yes;http://wordart.com/go?word=stays
MANY;4;Random;Random;Random;Yes;http://wordart.com/go?word=many
THOUGHTS;4;Random;Random;Random;Yes;http://wordart.com/go?word=thoughts
PROJECTS;4;Random;Random;Random;Yes;http://wordart.com/go?word=projects
LAUGHIN';4;Random;Random;Random;Yes;http://wordart.com/go?word=laughin'
OLD;4;Random;Random;Random;Yes;http://wordart.com/go?word=old
START;4;Random;Random;Random;Yes;http://wordart.com/go?word=start
CAUGHT;4;Random;Random;Random;Yes;http://wordart.com/go?word=caught
CHICKEN;4;Random;Random;Random;Yes;http://wordart.com/go?word=chicken
BEFORE;4;Random;Random;Random;Yes;http://wordart.com/go?word=before
THOUGHT;4;Random;Random;Random;Yes;http://wordart.com/go?word=thought
GREATEST;4;Random;Random;Random;Yes;http://wordart.com/go?word=greatest
KUNG;4;Random;Random;Random;Yes;http://wordart.com/go?word=kung
FU;4;Random;Random;Random;Yes;http://wordart.com/go?word=fu
KENNY;4;Random;Random;Random;Yes;http://wordart.com/go?word=kenny
PROMISE;4;Random;Random;Random;Yes;http://wordart.com/go?word=promise
EYES;4;Random;Random;Random;Yes;http://wordart.com/go?word=eyes
THINK;4;Random;Random;Random;Yes;http://wordart.com/go?word=think
PEOPLE;4;Random;Random;Random;Yes;http://wordart.com/go?word=people
RUNNIN';4;Random;Random;Random;Yes;http://wordart.com/go?word=runnin'
TRYNA;4;Random;Random;Random;Yes;http://wordart.com/go?word=tryna
AWAY;4;Random;Random;Random;Yes;http://wordart.com/go?word=away
WEED;4;Random;Random;Random;Yes;http://wordart.com/go?word=weed
LEAVE;4;Random;Random;Random;Yes;http://wordart.com/go?word=leave
TYPE;4;Random;Random;Random;Yes;http://wordart.com/go?word=type
CALLED;4;Random;Random;Random;Yes;http://wordart.com/go?word=called
YO';4;Random;Random;Random;Yes;http://wordart.com/go?word=yo'
ASK;4;Random;Random;Random;Yes;http://wordart.com/go?word=ask
FUNK;4;Random;Random;Random;Yes;http://wordart.com/go?word=funk
TALK;4;Random;Random;Random;Yes;http://wordart.com/go?word=talk
SWERVE;4;Random;Random;Random;Yes;http://wordart.com/go?word=swerve
WATER;4;Random;Random;Random;Yes;http://wordart.com/go?word=water
FAVORITE;4;Random;Random;Random;Yes;http://wordart.com/go?word=favorite
BET;4;Random;Random;Random;Yes;http://wordart.com/go?word=bet
JOHNNY;4;Random;Random;Random;Yes;http://wordart.com/go?word=johnny
RADARS;4;Random;Random;Random;Yes;http://wordart.com/go?word=radars
WICKEDNESS;3;Random;Random;Random;Yes;http://wordart.com/go?word=wickedness
SEEN;3;Random;Random;Random;Yes;http://wordart.com/go?word=seen
WATCHIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=watchin'
HAND;3;Random;Random;Random;Yes;http://wordart.com/go?word=hand
QUARTER;3;Random;Random;Random;Yes;http://wordart.com/go?word=quarter
PIECE;3;Random;Random;Random;Yes;http://wordart.com/go?word=piece
PEACE;3;Random;Random;Random;Yes;http://wordart.com/go?word=peace
PAIN;3;Random;Random;Random;Yes;http://wordart.com/go?word=pain
FLOW;3;Random;Random;Random;Yes;http://wordart.com/go?word=flow
BORN;3;Random;Random;Random;Yes;http://wordart.com/go?word=born
KIDS;3;Random;Random;Random;Yes;http://wordart.com/go?word=kids
DARK;3;Random;Random;Random;Yes;http://wordart.com/go?word=dark
SOUND;3;Random;Random;Random;Yes;http://wordart.com/go?word=sound
YOU'S;3;Random;Random;Random;Yes;http://wordart.com/go?word=you's
DADDY;3;Random;Random;Random;Yes;http://wordart.com/go?word=daddy
FRONT;3;Random;Random;Random;Yes;http://wordart.com/go?word=front
WISH;3;Random;Random;Random;Yes;http://wordart.com/go?word=wish
EXTRA;3;Random;Random;Random;Yes;http://wordart.com/go?word=extra
YOUNG;3;Random;Random;Random;Yes;http://wordart.com/go?word=young
LISTEN;3;Random;Random;Random;Yes;http://wordart.com/go?word=listen
KNOWS;3;Random;Random;Random;Yes;http://wordart.com/go?word=knows
GOIN';3;Random;Random;Random;Yes;http://wordart.com/go?word=goin'
PHONE;3;Random;Random;Random;Yes;http://wordart.com/go?word=phone
WITHOUT;3;Random;Random;Random;Yes;http://wordart.com/go?word=without
SICK;3;Random;Random;Random;Yes;http://wordart.com/go?word=sick
RICH;3;Random;Random;Random;Yes;http://wordart.com/go?word=rich
LOT;3;Random;Random;Random;Yes;http://wordart.com/go?word=lot
