,freq,word,freq JK
1067,1.0,gunman,1.0
1068,1.0,shootin,1.0
1069,1.0,charts,1.0
1070,1.0,slick,1.0
1071,1.0,el,1.0
1072,1.0,debarge,1.0
1073,2.0,finger,2.0
1074,1.0,waves,1.0
1075,2.0,handle,2.0
1076,1.0,bars,1.0
1077,1.0,large,1.0
1078,1.0,plays,1.0
1079,1.0,circuit,1.0
1080,1.0,verses,1.0
1081,1.0,look…,1.0
1082,63.0,hol,63.0
1083,7.0,judge,7.0
1084,1.0,strap,1.0
1085,1.0,brats,1.0
1086,1.0,aimin,1.0
1087,1.0,stack,1.0
1088,1.0,valley,1.0
1089,1.0,peak,1.0
1090,1.0,press,1.0
1091,2.0,friend,2.0
1092,1.0,see—,1.0
1093,1.0,fallen,1.0
1094,1.0,drapes,1.0
1095,1.0,toss,1.0
1096,1.0,carnivals,1.0
1097,1.0,kindness,1.0
1098,1.0,diamonds,1.0
1099,5.0,hundred,4.0
1100,1.0,finest,1.0
1101,5.0,everything,5.0
1102,1.0,gamble,1.0
1103,1.0,felt,1.0
1104,1.0,cause,1.0
1105,6.0,blood,6.0
1106,1.0,sword,1.0
1107,1.0,embrace,1.0
1108,1.0,write,1.0
1109,1.0,ball,1.0
1110,13.0,touch,13.0
1111,1.0,gold,1.0
1112,2.0,mine,2.0
1113,1.0,angel,1.0
1114,6.0,rush,4.0
1115,1.0,cannonballs,1.0
1116,1.0,ignite,1.0
1117,1.0,morning,1.0
1118,3.0,night,3.0
1119,1.0,shift,1.0
1120,1.0,sorry,1.0
1121,4.0,ask,4.0
1122,1.0,charged,1.0
1123,2.0,sometimes,2.0
1124,1.0,ignore,1.0
1125,1.0,afford,1.0
1126,1.0,habit,1.0
1127,1.0,levitatin,1.0
1128,1.0,duckin,1.0
1129,1.0,haters,1.0
1130,1.0,famous,1.0
1131,1.0,aha,
1132,1.0,waaaaay,1.0
1133,1.0,syrup,1.0
1134,1.0,sandwiches,1.0
1135,1.0,allowances,1.0
1136,1.0,finesse,1.0
1137,1.0,counterfeits,1.0
1138,1.0,countin,1.0
1139,1.0,parmesan,1.0
1140,1.0,downin,1.0
1141,1.0,d'ussé,1.0
1142,1.0,boo,1.0
1143,1.0,bae,1.0
1144,1.0,tastes,1.0
1145,1.0,koolaid,
1146,1.0,analysts,1.0
1147,1.0,paystub,1.0
1148,5.0,ooh,4.0
1149,2.0,pussy,1.0
1150,25.0,sit,25.0
1151,1.0,taste,1.0
1152,1.0,bloods,1.0
1153,1.0,petty,1.0
1154,1.0,extras,1.0
1155,1.0,break,1.0
1156,1.0,tetris,1.0
1157,2.0,a.m.,2.0
1158,2.0,p.m.,2.0
1159,4.0,funk,4.0
1160,1.0,piss,1.0
1161,1.0,per,1.0
1162,1.0,diem,1.0
1163,2.0,quit,2.0
1164,1.0,bm,1.0
1165,1.0,mercedes,1.0
1166,1.0,season,1.0
1167,1.0,left,1.0
1168,2.0,stroke,2.0
1169,1.0,viral,1.0
1170,1.0,spiral,1.0
1171,1.0,soprano,1.0
1172,1.0,c,1.0
1173,1.0,note,1.0
1174,1.0,levels,1.0
1175,19.0,humble,18.0
1176,1.0,dat,1.0
1177,1.0,frontin,1.0
1178,2.0,man-man,2.0
1179,1.0,stage,1.0
1180,2.0,sandman,2.0
1181,1.0,dick,1.0
1182,2.0,play,2.0
1183,1.0,tired,1.0
1184,1.0,photoshop,1.0
1185,5.0,show,5.0
